labsampnum,result_source_key,prep_code,pedon_key,site_key,pedlabsampnum,project_key,layer_field_label_1,hzn_top,hzn_bot,InRangeTop_0_100,InRangeBot_0_100,hzn_desgn,pedoniid,upedonid,soil_name,class_type,classification_name,siteiid,usiteid,site_obsdate,latitude_decimal_degrees,longitude_decimal_degrees,country_code,country_name,state_code,state_name,county_code,county_name,mlra_code,mlra_name,ssa_code,ssa_name,note,pedobjupdate,lab_texture,ca_nh4_ph_7,ca_nh4_ph_7_method,mg_nh4_ph_7,mg_nh4_ph_7_method,k_nh4_ph_7,k_nh4_ph_7_method,total_carbon_ncs,total_carbon_ncs_method,total_nitrogen_ncs,total_nitrogen_ncs_method,organic_carbon_walkley_black,oc_walkley_black_method,ph_cacl2,ph_cacl2_method,ph_h2o,ph_h2o_method,phosphorus_bray1,phosphorus_bray1_method,phosphorus_bray2,phosphorus_bray2_method,phosphorus_mehlich_3,phosphorus_mehlich_3_method,base_sat_nh4oac_ph_7,estimated_organic_carbon,carbon_to_nitrogen_ratio,texture_lab,particle_size_method,clay_total,silt_total,sand_total,total_frag_wt_pct_gt_2_mm_ws,bulk_density_oven_dry,bulk_density_oven_dry_method
FL4002701,15821163,S,51725,50999,S40_027,5460,,0,30,0,30,Ap,517848,1990-FL079-S40_027,Blanton,,"Grossarenic Paleudults, loamy, siliceous, semiactive, thermic",529101,S1990-FL079-S40_027,4/15/2011 0:00,30.4176769,-83.3807678,US,United States,FL,Florida,FL079,Madison,133A,Southern Coastal Plain,FL079,"Madison County, Florida",NASIS updated 5/4/2020 8:45:45 AM,4/23/2016 6:15,S,0.21,6N2,0.06,6O2,0.02,6Q2,,,,,1.11,6A1a,4.7,8C1e,5.1,8C1a,,,,,,,,,,S,3A1a1a,1.8,2.4,,,,
UAR0004703,15858119,S,57734,56933,67BN03,5568,67BN03,2,5,2,5,A,711336,1967AR007003,Nixa,series,"Loamy-skeletal, siliceous, active, mesic Glossic Fragiudults",711728,1967AR007003,11/5/2012 0:00,36.4808588,-94.2449296,US,United States,AR,Arkansas,AR007,Benton,116A,Ozark Highland,AR007,"Benton County, Arkansas",NASIS updated 5/4/2020 8:07:53 AM,7/25/2019 13:05,si,8.37,6N2,1.68,6O2f,0.51,6Q2a,,,,,3.6,6A1a,,,6.2,8C1a,50,6S3,,,,,,,,si,hyd1,8.3,82.6,8.8,,,
18N04358,15950334,S,75690,136286,18N1107,6277,S2018NC183003-2,8,15,8,15,BE,,S2018NC183003,Madison,series,"Fine, kaolinitic, thermic Typic Kanhapludult",,S2018NC183003,,35.72610092,-78.66970062,US,United States,NC,North Carolina,NC183,Wake,136,Southern Piedmont,NC183,"Wake County, North Carolina",NCSS dated Feb 21 2021  3:00AM,,scl,0.25,4B1a1a,0.16,4B1a1a,0.14,4B1a1a,0.55,4H2a,0.04,4H2a,,,4.2,4C1a2a,4.9,4C1a2a,,,,,0.7,4D6a1,,0.6,14,scl,3A1a1a,23.7,13.8,62.5,4,1.78,DbWR1
FL5702602,15814137,S,50643,49917,S57_026,5460,,15,36,15,36,Bw,518173,1973-FL113-S57_026,Dothan,,"Plinthic Kandiudults, fine-loamy, kaolinitic, thermic",529467,S1973-FL113-S57_026,4/15/2011 0:00,30.8066216,-86.9346466,US,United States,FL,Florida,FL113,Santa Rosa,133A,Southern Coastal Plain,FL113,"Santa Rosa County, Florida",NASIS updated 5/4/2020 8:46:05 AM,4/23/2016 6:15,FSL,0.1,6N2,0.1,6O2,,,,,,,0.31,6A1a,4.1,8C1e,4.6,8C1a,,,,,,,,,,FSL,3A1a1a,15.1,13.9,,,,
MU021750,15796467,S,47840,47126,M0011917,5429,,3,15,3,15,A,95171,1999MO119227,Moko,series,"Loamy-skeletal, mixed, superactive, mesic Lithic Hapludolls",95231,1999MO119227,4/13/2000 0:00,36.6376639,-94.1249778,US,United States,MO,Missouri,MO119,McDonald,116A,Ozark Highland,MO119,"McDonald County, Missouri",NASIS updated 5/4/2020 8:33:50 AM,7/25/2019 13:05,l,49.6,4B1a1,2.4,4B1a1,0.6,4B1a1,,,,,4.1,6A2d,7.6,8C1e,8,8C1a,,,,,,,100,,,l,3A1a1a,25.9,41.6,32.5,,,
11N00398,15831124,S,53452,132708,11N0078,5515,S10GA023013-3,25,50,25,50,Bt,890521,S2010GA023013,Dothan,series,"Fine-loamy, kaolinitic, thermic Plinthic Kandiudults",908402,S2010GA023013,8/23/2013 0:00,32.3409056,-83.3596944,US,United States,GA,Georgia,GA023,Bleckley,133A,Southern Coastal Plain,GA610,"Bleckley, Dodge, and Telfair Counties, Georgia",NASIS updated 5/4/2020 7:50:45 AM,2/6/2018 17:56,scl,1.43,4B1a1a,0.5,4B1a1a,0.74,4B1a1a,0.24,4H2a,0.02,4H2a,,,5.7,4C1a2a,6.4,4C1a2a,,,,,,,72,0.2,11,scl,3A1a1a,22.4,12,65.6,2,,
MU009800,15757980,S,42086,41372,M9509136,5397,,0,20,0,20,A,1361433,1995MO091152M,Arkana,taxadjunct,"Fine, mixed, active, mesic Mollic Hapludalfs",89138,1995MO091152M,9/26/1995 0:00,37.03615,-91.8207556,US,United States,MO,Missouri,MO091,Howell,116A,Ozark Highland,MO091,"Howell County, Missouri",NASIS updated 5/4/2020 8:40:28 AM,10/18/2019 14:35,L,3.3,6N2,2.3,6O2,0.2,6Q2,,,,,1.9,6A2d,4.6,8C1e,5.3,8C1a,,,,,,,46,,,L,3A1a1a,23.4,46.4,30.2,,,
MU012489,15760630,S,42487,41773,M9522107,5397,,8,23,8,23,E,87151,1995MO221007,Clarksville,series,"Loamy-skeletal, siliceous, semiactive, mesic Typic Paleudults",87389,1995MO221007,12/13/1995 0:00,37.9936111,-91.0536111,US,United States,MO,Missouri,MO221,Washington,116A,Ozark Highland,MO221,"Washington County, Missouri",NASIS updated 5/4/2020 8:40:39 AM,7/25/2019 13:05,SIL,0.2,6N2,0,6O2,0.1,6Q2,,,,,0.7,6A2d,4.2,8C1e,4.7,8C1a,,,,,,,7,,,SIL,3A1a1a,8,67.8,24.2,,,
40A38715,36636,S,4881,4881,40A5140,1,62413,97,142,97,100,Bt5,100948,S1962GA225023,GREENVILLE,series,,100965,S1962GA225023,7/18/1962 0:00,32.5735016,-83.8940735,US,United States,GA,Georgia,GA225,Peach,,,GA640,"Houston and Peach Counties, Georgia",NASIS updated 5/4/2020 8:05:54 AM,4/23/2016 6:15,c,1.5,6N2d,0.9,6O2b,0.1,6Q2a,,,,,0.08,6A1a,,,5.3,8C1a,,,,,,,,,,c,3A1a1a,48,12.1,39.9,0,1.56,4A1h
MU011877,15760031,S,42401,41687,M9209968,5397,,33,51,33,51,Bt1,698091,1992MO099168,Clarksville,series,"Loamy-skeletal, siliceous, semiactive, mesic Typic Paleudults",699309,1992MO099168,6/8/2010 0:00,38.4333333,-90.6222222,US,United States,MO,Missouri,MO099,Jefferson,116A,Ozark Highland,MO099,"Jefferson County, Missouri",NASIS updated 5/4/2020 8:38:57 AM,7/25/2019 13:05,SIL,2.1,6N2,0.4,6O2,0.1,6Q2,,,,,0.3,6A2d,4,8C1e,4.5,8C1a,,,,,,,27,,,SIL,3A1a1a,20.8,70.9,8.3,,,
97P02465,148670,S,23265,23265,97P0408,3136,,54,70,54,70,BC,105853,97TN035011,Lily,series,"Fine-loamy, siliceous, mesic Typic Hapludults",105870,S1997TN035011,4/9/1997 0:00,35.851265,-85.0702896,US,United States,TN,Tennessee,TN035,Cumberland,125,Cumberland Plateau and Mountains,TN035,"Cumberland County, Tennessee",NASIS updated 5/4/2020 8:29:10 AM,4/19/2016 23:19,l,1.73,6N2e,0.08,6O2d,0.65,6Q2b,0.11,6A2e,0.034,6B4a,0.13,6A1c,4,4C1a2a,4.9,4C1a2a,,,,,,,48,,4,l,3A1a1a,16,42,42,1,1.68,4A1h
86P05559,87205,S,13596,13596,86P0924,1487,,0,12,0,12,Ap1,850067,1986LA065002,Sharkey,taxadjunct,"Very-fine, smectitic, thermic Aeric Epiaquerts",122000,S1986LA065002,8/1/1986 0:00,32.5038872,-91.1919479,US,United States,LA,Louisiana,LA065,Madison,131,Southern Mississippi Valley Alluvium,LA065,"Madison Parish, Louisiana",NASIS updated 5/4/2020 8:19:13 AM,11/17/2014 17:47,c,31.36,6N2e,12.14,6O2d,1.18,6Q2b,1.63,6A2d,,,1.51,6A1c,6,4C1a2a,6.3,4C1a2a,,,,,,,96,,,c,3A1a1a,66.3,32.6,1.1,0,1.81,4A1h
MU058742,15806977,S,49471,48757,M9722117,5429,,38,61,38,61,2Bt2,87647,1997MO221069,Noark,series,"Clayey-skeletal, mixed, semiactive, mesic Typic Paleudults",87840,1997MO221069,6/9/1997 0:00,37.8715025,-90.9134818,US,United States,MO,Missouri,MO221,Washington,116A,Ozark Highland,,,NASIS updated 5/4/2020 8:41:39 AM,7/25/2019 13:05,c,2.2,4B1a1,3.6,4B1a1,0.3,4B1a1,,,,,0.4,6A2d,4,8C1e,4.7,8C1a,,,,,,,26,,,c,3A1a1a,71.3,18.2,10.5,,,
MU054591,15793289,S,47410,46696,M9561367,5429,,38,53,38,53,Bt3,1367267,1995MO203067M,Clarksville,taxadjunct,"Loamy-skeletal, siliceous, semiactive, mesic Typic Paleudults",96695,1995MO203067M,6/29/1995 0:00,37.1439333,-91.0897528,US,United States,MO,Missouri,MO203,Shannon,116A,Ozark Highland,MO203,"Shannon County, Missouri",NASIS updated 5/4/2020 8:40:47 AM,12/12/2019 14:17,sicl,1.2,4B1a1,1.6,4B1a1,0.1,4B1a1,,,,,0.2,6A2d,4.7,8C1e,5.2,8C1a,,,,,,,31,,,sicl,3A1a1a,28.1,58.6,13.3,,,
UTK0525,15931952,S,72396,133136,88UTK001004,5912,88TN001UTK004-2,15,58,15,58,Cr1,733253,88TN001UTK004,udorthents,Family,,738849,88TN001UTK004,8/14/2009 0:00,35.9430555,-84.3388889,US,United States,TN,Tennessee,TN001,Anderson,128,Southern Appalachian Ridges and Valleys,TN001,"Anderson County, Tennessee",NASIS updated 5/4/2020 8:21:15 AM,7/9/2014 19:18,cl,3.68,4B1a1,2.02,4B1a1,0.31,4B1a1,0.23,6A2a,,,,,,,5.1,8C1a,,,,,,,26,,,cl,3A1a1a,32.9,44.8,22.3,,,
40A30463,28814,S,3772,3772,40A3977,1,7120,41,69,41,69,Ag3,107450,S1957LA011004,CADDO,series,"Fine-silty, siliceous, thermic Typic Glossaqualfs",107467,S1957LA011004,11/6/1957 0:00,30.5480556,-93.2116699,US,United States,LA,Louisiana,LA011,Beauregard,152A,Eastern Gulf Coast Flatwoods,LA011,"Beauregard Parish, Louisiana",NASIS updated 5/4/2020 8:04:53 AM,4/22/2016 22:33,sil,0,6N2b,0.9,6O2b,0.1,6Q2a,,,0.014,6B1a,0.11,6A1a,,,5.2,8C1a,,,,,,,16,,,sil,3A1a1a,16.1,65.3,18.6,0,,
FL6603503,15817683,S,51150,50424,S66_035,5460,,43,64,43,64,Bw2,518327,1980-FL131-S66_035,Bonneau,,"Arenic Paleudults, loamy, siliceous, subactive, thermic.",529621,S1980-FL131-S66_035,4/15/2011 0:00,30.6837387,-86.1742249,US,United States,FL,Florida,FL131,Walton,133A,Southern Coastal Plain,FL131,"Walton County, Florida",NASIS updated 5/4/2020 8:46:16 AM,4/23/2016 6:15,cos,0.07,6N2,0.03,6O2,0.01,6Q2,,,,,0.15,6A1a,4.6,8C1e,4.2,8C1a,,,,,,,,,,cos,3A1a1a,2.4,6.7,,,,
84011-7-3,15742662,S,39679,39060,S84AL-011-7,5210,8411-7-3,36,102,36,100,Cg2,318746,84AL011007-pgm,Bibb,taxadjunct,"Coarse-loamy, siliceous, superactive, acid, thermic Typic fluvaquents",318432,84AL011007-pgm,11/28/1984 0:00,32.0258806,-85.5979222,US,United States,AL,Alabama,AL011,Bullock,133A,Southern Coastal Plain,AL011,"Bullock County, Alabama",NASIS updated 5/4/2020 8:46:37 AM,1/27/2014 17:14,,0.28,NK,0.09,NK,0.01,NK,,,,,,,,,5.4,NK,,,,,,,12,,,,3A1a1a,4.5,15.5,80,,,
00P01703,159256,S,24917,24917,00P0234,3465,,29,67,29,67,Bt1,192394,1999NC173003,Clifton,taxadjunct,"Fine-loamy, mixed, semiactive, mesic Typic Paleudults",108621,S1999NC173003,10/18/1999 0:00,35.53068,-83.30795,US,United States,NC,North Carolina,NC173,Swain,130B,Southern Blue Ridge,TN640,"Great Smoky Mountains National Park, Tennessee and North Carolina",NASIS updated 5/4/2020 7:36:04 AM,1/17/2019 20:25,cl,0.81,6N2i,0.81,6O2h,0.36,6Q2f,0.28,6A2e,0.054,6B4a,,,4.4,4C1a2a,5.2,4C1a2a,,,,,,,17,0.3,,cl,3A1a1a,32.4,35,32.6,27,1.4,4A1h
MU049213,15804255,S,49073,48359,M9322309,5429,,36,48,36,48,Bt1,88825,1993MO223009,Clarksville,series,"Loamy-skeletal, siliceous, semiactive, mesic Typic Paleudults",88914,1993MO223009,3/18/1993 0:00,37.3064194,-90.2568817,US,United States,MO,Missouri,MO223,Wayne,116A,Ozark Highland,MO223,"Wayne County, Missouri",NASIS updated 5/4/2020 8:39:45 AM,7/25/2019 13:05,sil,0.7,4B1a1,0.4,4B1a1,0.1,4B1a1,,,,,0.3,6A2d,4.2,8C1e,4.8,8C1a,,,,,,,17,,,sil,3A1a1a,23.1,53,23.9,,,
40A40864,38850,S,5184,5184,40A5437,10,,17,38,17,38,E,955769,55SC089002,Rains,series,,974063,55SC089002,6/1/1955 0:00,,,US,United States,SC,South Carolina,SC089,Williamsburg,,,,,NASIS updated 5/4/2020 8:06:10 AM,6/12/2014 16:16,fsl,0.1,6N2d,0.2,6O2b,0.02,6Q2a,,,,,0.5,6A1a,,,5,8C1a,,,,,,,,,,fsl,3A1a1a,16.1,25.3,58.6,0,,
MU055820,15797661,S,48031,47317,M9611968,5429,,0,25,0,25,A1,94578,1996MO119106,Moko,series,"Loamy-skeletal, mixed, superactive, mesic Lithic Hapludolls",94638,1996MO119106,8/29/1996 0:00,36.5438222,-94.2888389,US,United States,MO,Missouri,MO119,McDonald,116B,Springfield Plain,MO119,"McDonald County, Missouri",NASIS updated 5/4/2020 8:41:03 AM,7/25/2019 13:05,sil,29.2,4B1a1,14.1,4B1a1,0.7,4B1a1,,,,,7.1,6A2d,7.2,8C1e,7.5,8C1a,,,,,,,100,,,sil,3A1a1a,15.1,58.4,26.5,,,
FL0700203,15820393,S,51589,50863,S07_002,5460,,41,61,41,61,Bt2,517198,1988-FL013-S07_002,Orangeburg,,"Typic Kandiudults, kaolinitic, siliceous, thermic.",528492,S1988-FL013-S07_002,4/15/2011 0:00,30.5872192,-85.1425018,US,United States,FL,Florida,FL013,Calhoun,133A,Southern Coastal Plain,FL013,"Calhoun County, Florida",NASIS updated 5/4/2020 8:44:39 AM,4/23/2016 6:15,SCL,2.02,6N2,0.99,6O2,0.15,6Q2,,,,,0.11,6A1a,6,8C1e,6.3,8C1a,,,,,,,,,,SCL,3A1a1a,22.2,11.2,,,,
18N01346,15945600,S,74770,135366,18N0187,6182,S2016AL007010-4,83,100,83,100,Bt,1157602,S2016AL007010,Bonneau,series,"Loamy, siliceous, subactive, thermic Arenic Paleudults",1186397,S2016AL007010,,32.92664,-87.4189,US,United States,AL,Alabama,AL007,Bibb,133A,Southern Coastal Plain,AL007,"Bibb County, Alabama",NASIS updated 5/4/2020 7:59:55 AM,4/3/2018 20:09,sl,0,4B1a1a,0.11,4B1a1a,0.04,4B1a1a,0.57,4H2a,0.04,4H2a,,,4.3,4C1a2a,5.2,4C1a2a,,,,,3.8,4D6a1,3,0.6,14,sl,3A1a1a,10.3,23.4,66.3,1,,
MU038369,15776028,S,44780,44066,M9010514,5429,,13,28,13,28,E1,474078,1990MO105014,Clarksville,series,"Loamy-skeletal, siliceous, semiactive, mesic Typic Paleudults",478036,1990MO105014,1/25/2011 0:00,37.8707,-92.6946,US,United States,MO,Missouri,MO105,Laclede,116A,Ozark Highland,,,NASIS updated 5/4/2020 8:37:38 AM,8/9/2019 11:20,sil,2.9,4B1a1,0.4,4B1a1,0.2,4B1a1,,,,,0.6,6A2d,4.7,8C1e,5.4,8C1a,,,,,,,49,,,sil,3A1a1a,11.6,72.8,15.6,,,
86P04504,86150,S,13416,13416,86P0744,1464,,67,85,67,85,A4,123587,86NC113024,Nikwasi,series,"Sandy, mixed, acid, mesic Cumulic Humaquept",121843,S1986NC113024,7/1/1986 0:00,35.1074982,-83.2297211,US,United States,NC,North Carolina,NC113,Macon,130,Blue Ridge,NC113,"Macon County, North Carolina",NASIS updated 5/4/2020 8:19:03 AM,4/24/2016 14:12,cos,0.1,6N2e,0.02,6O2d,0.02,6Q2b,,,,,1.28,6A1c,4.5,4C1a2a,4.8,4C1a2a,,,,,,,4,,,cos,3A1a1a,2.6,3.7,93.7,14,1.33,4A1h
40A38781,36702,S,4891,4891,40A5150,1,56395,0,25,0,25,Ap,100961,S1956GA277006,NORFOLK,series,,100978,S1956GA277006,2/1/1956 0:00,31.4732533,-83.4801712,US,United States,GA,Georgia,GA277,Tift,,,GA277,"Tift County, Georgia",NASIS updated 5/4/2020 8:05:55 AM,4/23/2016 6:15,s,0.4,6N2d,0.2,6O2b,0.1,6Q2a,,,,,0.26,6A1a,,,5.2,8C1a,,,,,,,,,,s,3A1a1a,2.1,6.9,91,0,,
80P02858,56444,S,8090,8090,80P0508,499,,64,89,64,89,Bt12,110088,S1980LA069015,MALBIS,series,"Fine-loamy, siliceous, thermic Plinthic Paleudults",110074,S1980LA069015,6/1/1980 0:00,31.4227772,-93.1236115,US,United States,LA,Louisiana,LA069,Natchitoches,133B,Western Coastal Plain,LA069,"Natchitoches Parish, Louisiana",NASIS updated 5/4/2020 8:12:51 AM,4/22/2016 22:33,scl,0.05,6N2e,0.85,6O2d,0.07,6Q2b,,,,,0.09,6A1c,4,8C1e,4.8,8C1a,,,,,,,16,,,scl,3A1a1a,23.1,24.7,52.2,3,1.87,4A1h
11N00392,15831118,S,53450,132706,11N0076,5515,S10GA023011-3,18,50,18,50,Bt,890519,S2010GA023011,Dothan,series,"Fine-loamy, kaolinitic, thermic Plinthic Kandiudults",908415,S2010GA023011,8/23/2013 0:00,32.3408806,-83.3588139,US,United States,GA,Georgia,GA023,Bleckley,133A,Southern Coastal Plain,GA610,"Bleckley, Dodge, and Telfair Counties, Georgia",NASIS updated 5/4/2020 7:50:44 AM,2/6/2018 17:56,scl,2.11,4B1a1a,1.01,4B1a1a,1.13,4B1a1a,0.39,4H2a,0.025,4H2a,,,5.7,4C1a2a,6.4,4C1a2a,,,,,,,72,0.4,15,scl,3A1a1a,34.9,11,54.1,3,,
01P02098,167167,S,26297,26297,01P0342,3701,,0,8,0,8,A,960590,99VA083001,Appling,series,"Fine, kaolinitic, thermic Typic Kanhapludult",978884,99VA083001,6/1/2001 0:00,,,US,United States,VA,Virginia,VA083,Halifax,,,,,NASIS updated 5/4/2020 7:39:05 AM,4/19/2016 23:19,,,,,,,,1.63,6A2e,0.162,6B4a,,,4,4C1a2a,4.4,4C1a2a,,,,,,,,1.6,,,,,,,,,
KY2910,15844806,S,55280,54479,86KY-139-007,5546,UK8613900701,0,20,0,20,Ap,521026,86KY-139-007,Saffell,taxadjunct,"Loamy-skeletal, mixed, semiactive, thermic Typic Hapludults",531664,86KY-139-007,5/5/1986 0:00,,,US,United States,KY,Kentucky,KY139,Livingston,122,Highland Rim and Pennyroyal,KY139,"Livingston County, Kentucky",NASIS updated 5/4/2020 8:18:21 AM,1/5/2015 15:31,SIL,3.6,6N2a,0.1,6O2a,0.7,6Q2a,,,,,2.1,6A1a,,,6.2,8C1a,11,BRAYP,,,,,87,,,SIL,3A1a1a,11.3,67.3,21.4,,,
FL2301704,15820862,S,51672,50946,S23_017,5460,,91,152,91,100,Btg2,517502,1989-FL045-S23_017,Rains,,"Typic Paleaquults, loamy, siliceous, semiactive, thermic.",528755,S1989-FL045-S23_017,4/15/2011 0:00,30.0755615,-85.3377838,US,United States,FL,Florida,FL045,Gulf,152A,Eastern Gulf Coast Flatwoods,FL045,"Gulf County, Florida",NASIS updated 5/4/2020 8:45:26 AM,4/23/2016 6:15,SCL,0.43,6N2,0.36,6O2,0.08,6Q2,,,,,0.56,6A1a,4.2,8C1e,5.2,8C1a,,,,,,,,,,SCL,3A1a1a,27.3,14.7,,,,
40A38791,36712,S,4892,4892,40A5151,1,56412,69,97,69,97,B22,100963,S1956GA277008,NORFOLK,series,,100980,S1956GA277008,7/1/1956 0:00,,,US,United States,GA,Georgia,GA277,Tift,,,GA277,"Tift County, Georgia",NASIS updated 5/4/2020 8:05:55 AM,4/23/2016 6:15,fsl,0.6,6N2d,0.1,6O2b,0.2,6Q2a,,,,,0.06,6A1a,,,4.7,8C1a,,,,,,,,,,fsl,3A1a1a,13,7.5,79.5,0,,
FL1901502,15820168,S,51551,50825,S19_015,5460,,15,79,15,79,E1,517474,1987-FL037-S19_015,Blanton,,NA,528710,S1987-FL037-S19_015,4/15/2011 0:00,29.9826756,-84.4835205,US,United States,FL,Florida,FL037,Franklin,152A,Eastern Gulf Coast Flatwoods,FL037,"Franklin County, Florida",NASIS updated 5/4/2020 8:45:21 AM,4/23/2016 6:15,FS,0.02,6N2,0.02,6O2,0,6Q2,,,,,0.09,6A1a,4.3,8C1e,4.4,8C1a,,,,,,,,,,FS,3A1a1a,1.7,2.8,,,,
00P03657,161210,S,25240,25240,00P0559,3513,,18,33,18,33,Bt1,108249,99NC123003,Hiwassee,series,"Fine, kaolinitic Typic Rhodudults",108235,S1999NC123003,6/7/1999 0:00,,,US,United States,NC,North Carolina,NC123,Montgomery,,,NC123,"Montgomery County, North Carolina",NASIS updated 5/4/2020 7:36:32 AM,4/24/2016 14:12,cl,,,,,,,0.59,6A2e,0.059,6B4a,,,4.3,4C1a2a,4.7,4C1a2a,,,,,,,,0.6,,cl,3A1a1a,31.4,30.1,38.5,2,,
FL2302301,15821134,S,51719,50993,S23_023,5460,,0,23,0,23,Ap,517508,1990-FL045-S23_023,Orangeburg,,"Typic Kandiudults, fine-loamy, kaolinitic, thermic.",528761,S1990-FL045-S23_023,4/15/2011 0:00,30.189167,-85.2060089,US,United States,FL,Florida,FL045,Gulf,133A,Southern Coastal Plain,FL045,"Gulf County, Florida",NASIS updated 5/4/2020 8:45:26 AM,4/23/2016 6:15,FSL,0.28,6N2,0.25,6O2,0.04,6Q2,,,,,1.27,6A1a,4.3,8C1e,5.1,8C1a,,,,,,,,,,FSL,3A1a1a,6.4,32,,,,
40A38454,36375,S,4842,4842,40A5101,1,60294,30,41,30,41,B2,100630,S1960FL121035,SUSQUEHANNA,series,,100647,S1960FL121035,2/29/1960 0:00,30.1602345,-82.9623795,US,United States,FL,Florida,FL121,Suwannee,,,FL121,"Suwannee County, Florida",NASIS updated 5/4/2020 8:05:52 AM,4/23/2016 6:15,sc,6.8,6N2d,3.3,6O2a,0.5,6Q2a,,,,,0.45,6A1a,,,4.6,8C1a,,,,,,,,,,sc,3A1a1a,50.4,3.2,46.4,0,1.76,4A1h
MU041104,15774476,S,44538,43824,M9109101,5429,,15,23,15,23,A2,474341,1991MO091001,Clarksville,series,"Loamy-skeletal, siliceous, semiactive, mesic Typic Paleudults",478299,1991MO091001,1/25/2011 0:00,36.8126,-92.1884,US,United States,MO,Missouri,MO091,Howell,116A,Ozark Highland,,,NASIS updated 5/4/2020 8:38:09 AM,8/9/2019 11:20,sil,10.7,4B1a1,5.9,4B1a1,0.2,4B1a1,,,,,2.2,6A2d,7,8C1e,7.5,8C1a,,,,,,,100,,,sil,3A1a1a,21.6,59.1,19.3,,,
40A20952,19597,S,2505,2505,40A2669,1,67L0220,79,112,79,100,2Bt3,955581,1967MO149003S,Noark,taxadjunct,"Clayey-skeletal, mixed, semiactive, mesic Typic Paleudults",973875,1967MO149003S,6/1/1967 0:00,,,US,United States,MO,Missouri,MO149,Oregon,116A,Ozark Highland,,,NASIS updated 5/4/2020 8:03:43 AM,7/25/2019 13:05,scl,4.9,NK,0.6,NK,0.3,NK,,,,,,,5.4,NK,5.6,NK,,,,,,,78,,,scl,3A1a1a,25.1,7.6,67.3,88,,
09N02992,15744596,S,40003,39384,09N0854,5302,S09SC083-011-2,8,28,8,28,BA,337709,S2009SC083011,Cecil,series,"Fine, kaolinitic, thermic Typic Kanhapludults",346676,S2009SC083011,5/18/2005 0:00,34.8333321,-82.1130524,US,United States,SC,South Carolina,SC083,Spartanburg,136,Southern Piedmont,SC083,"Spartanburg County, South Carolina",NASIS updated 5/4/2020 7:48:51 AM,8/14/2013 19:15,fsl,0.68,4B1a1a,0.26,4B1a1a,0.31,4B1a1a,0.91,4H2a,0.06,4H2a,,,4.5,4C1a2a,4.9,4C1a2a,,,,,,,35,0.9,15,fsl,3A1a1a,13.6,26.5,59.9,4,,
40A21236,19881,S,2548,2548,40A2712,1,12109,46,66,46,66,B1,102907,S1959MO065001,Clarksville,series,,102924,S1959MO065001,10/6/1959 0:00,37.4908981,-91.262352,US,United States,MO,Missouri,MO065,Dent,116A,Ozark Highland,MO065,"Dent County, Missouri",NASIS updated 5/4/2020 8:03:45 AM,4/22/2016 17:03,sl,0.1,6N2b,0.1,6O2b,0.1,6Q2a,,,,,0.23,6A1a,,,4.7,8C1a,,,,,,,8,,,sl,3A1a1a,10.9,33.5,55.6,0,,
40A40359,38345,S,5107,5107,40A5359,10,69B0310,0,18,0,18,A,110246,S1969NC107001,LEON,series,,110232,S1969NC107001,3/11/1969 0:00,,,US,United States,NC,North Carolina,NC107,Lenoir,,,NC107,"Lenoir County, North Carolina",NASIS updated 5/4/2020 8:06:06 AM,4/24/2016 14:26,fs,0.02,NK,0.1,NK,0.1,NK,,,,,4,NK,2.6,NK,3.3,NK,,,,,,,3,,,fs,3A1a1a,1.5,6.4,92.1,0,,
09N02968,15744572,S,39998,39379,09N0849,5302,S09SC083-006-3,33,79,33,79,Bt1,345734,S09SC083006,Davidson,series,"Fine, kaolinitic, thermic Rhodic Kandiudults",346671,"S2009SC083006-Davidson, PED",6/19/2008 0:00,34.898613,-81.8130569,US,United States,SC,South Carolina,SC083,Spartanburg,136,Southern Piedmont,SC083,"Spartanburg County, South Carolina",NASIS updated 5/4/2020 7:48:50 AM,4/24/2016 14:12,c,0.78,4B1a1a,0.24,4B1a1a,0.12,4B1a1a,0.28,4H2a,0.022,4H2a,,,4.6,4C1a2a,5.3,4C1a2a,,,,,,,16,0.3,13,c,3A1a1a,57.3,11.7,31,1,,
82P01474,63134,S,9234,9234,82P0280,715,,28,79,28,79,Bt1,956811,82LA115002B,Malbis,series,"Fine-loamy, siliceous, subactive, thermic Plinthic Paleudult",975105,82LA115002B,6/1/1982 0:00,31.0066667,-93.0422222,US,United States,LA,Louisiana,LA115,Vernon,133B,Western Coastal Plain,LA115,"Vernon Parish, Louisiana",NASIS updated 5/4/2020 8:14:18 AM,6/12/2014 16:16,cl,0.45,6N2e,0.73,6O2d,0.05,6Q2b,,,,,0.27,6A1c,4,4C1a2a,4.9,4C1a2a,,,,,,,17,,,cl,3A1a1a,32.4,26.1,41.5,5,,
16N02369,15943876,S,74387,134983,16N0543,6150,S2015AL063003-2,11,33,11,33,Btg1,1139167,S2015AL063003,Bethera,series,"Fine, mixed, semiactive, thermic Typic Paleaquults",847359,S2015AL063003,,32.5394444,-87.8144444,US,United States,AL,Alabama,AL063,Greene,133A,Southern Coastal Plain,AL063,"Greene County, Alabama",NASIS updated 5/4/2020 7:59:02 AM,9/8/2016 16:41,sic,6.97,4B1a1a,2.48,4B1a1a,0.19,4B1a1a,1.49,4H2a,0.144,4H2a,,,4.4,4C1a2a,5,4C1a2a,,,,,4.9,4D6a1,63,1.5,10,sic,3A1a1a,42.8,55.1,2.1,0,1.34,DbWR1
